epoch,dice_coef,loss,val_dice_coef,val_loss
0,0.4061974287033081,1.5568068027496338,0.5023819804191589,1.1646713018417358
1,0.610084593296051,0.9281376004219055,0.588354229927063,0.9348522424697876
2,0.6550938487052917,0.7984371185302734,0.7142764329910278,0.6814895272254944
3,0.7035971283912659,0.6725058555603027,0.7165093421936035,0.6411933898925781
4,0.7280085682868958,0.611488401889801,0.7478290796279907,0.5790465474128723
5,0.7585905194282532,0.5354149341583252,0.7553837895393372,0.573018491268158
6,0.7789271473884583,0.48930680751800537,0.8002142906188965,0.4877391755580902
7,0.7957674264907837,0.45024630427360535,0.8191048502922058,0.43516188859939575
8,0.8132153153419495,0.40689852833747864,0.8061761856079102,0.43831372261047363
9,0.8224438428878784,0.3865845501422882,0.8276769518852234,0.4120972156524658
10,0.8327609300613403,0.3647652864456177,0.8176410794258118,0.42470985651016235
11,0.8427218794822693,0.33850112557411194,0.8291327357292175,0.3701014816761017
12,0.8483715653419495,0.325569748878479,0.8419898748397827,0.3575167655944824
13,0.8566782474517822,0.30910924077033997,0.8245292901992798,0.43051284551620483
14,0.8616013526916504,0.2949356734752655,0.8326722979545593,0.39153915643692017
15,0.8677103519439697,0.28226643800735474,0.8621516227722168,0.3270672857761383
16,0.8729725480079651,0.26895806193351746,0.8527404069900513,0.35897549986839294
17,0.8778695464134216,0.25961989164352417,0.8702367544174194,0.29959216713905334
18,0.8821572661399841,0.24965552985668182,0.8570882081985474,0.34543466567993164
19,0.8831294178962708,0.2467786818742752,0.8651202917098999,0.3311721682548523
